0.041220512110118;	0.027360981139580;	0.006594122683881;	0.012233495882130;
0.042359384531156;	0.027310781399817;	0.007018609181486;	0.012773630840920;
0.039636297252937;	0.028385588822970;	0.007213469856321;	0.013602361767812;
0.039928775867089;	0.028304740625289;	0.007420945306094;	0.013925601082568;
0.042004575721054;	0.028059671086557;	0.007818808598737;	0.014325568480541;
0.038254403780480;	0.029199911013344;	0.008183049176736;	0.015193513150030;
0.037746693480467;	0.028934233104086;	0.008623200791829;	0.015648846076699;
0.040594212102476;	0.029238337106069;	0.008849477878076;	0.016357080567368;
0.037762295953289;	0.030325737792437;	0.009258800985591;	0.016966717132661;
0.037437216161886;	0.029648686781594;	0.009781325224202;	0.017544306831883;
0.039193053748667;	0.029909755113912;	0.010059148001484;	0.018257758736974;
0.036678537745436;	0.030871894788909;	0.010468236640411;	0.018875143323762;
0.036030995908675;	0.030502067107816;	0.011007667045114;	0.020164242323510;
0.037387809295714;	0.030746902093346;	0.011601948219512;	0.020989653227055;
0.035542407417249;	0.031484903472084;	0.011973278645433;	0.021578831843076;
0.034853200895192;	0.030924751472294;	0.012534174972538;	0.022427471369996;
0.035573542252351;	0.031142555533749;	0.013090188160967;	0.022740905139764;
0.033840239903689;	0.032585450347037;	0.013886583975995;	0.023411630340184;
0.033829803455045;	0.032578178068063;	0.014435238357606;	0.024181348043613;
0.034201138283910;	0.031303237479444;	0.015095346835921;	0.024979420313629;
0.032266695998899;	0.031583527060683;	0.016126632926221;	0.025530772958765;
0.032239453928523;	0.032859772091729;	0.016595788037521;	0.026229474821735;
0.033182848626448;	0.032736241176251;	0.017109382448057;	0.026960210925265;
0.031151141518380;	0.031955842592262;	0.017724490750226;	0.027460388046985;
0.030671401931125;	0.032166753712391;	0.018752424916729;	0.028423513591437;
0.031168818932757;	0.032568500289778;	0.019510502369172;	0.028904245857135;
0.028656399520021;	0.032132155011217;	0.020112412482109;	0.029238004542306;
0.028688546075415;	0.031580438057672;	0.021158626749066;	0.030109762605662;
0.029678235875842;	0.031709480154598;	0.022098184553233;	0.030178560170139;
0.026514547742470;	0.032366321402621;	0.022896576503637;	0.030170487660099;
0.025725684558244;	0.032244544782763;	0.023351490565369;	0.031159452742834;
0.027493416367093;	0.031483619560477;	0.024218798568651;	0.031475888168646;
0.027053475209769;	0.030194917762413;	0.025121951802608;	0.031089171510185;
0.024581973032505;	0.029981578810776;	0.025641936610191;	0.031142149910473;
0.024002418221638;	0.030390132828136;	0.026390626660614;	0.031216820929712;
0.024331362609147;	0.029957390559322;	0.027250587784000;	0.031089185628289;
0.021815697250227;	0.029295996234494;	0.027630248361388;	0.031221403826359;
0.021318898138616;	0.028117628409799;	0.028284110258655;	0.030956450822735;
0.022456979622111;	0.027405576217559;	0.030219006061948;	0.030615248695474;
0.021849595111210;	0.027239926425932;	0.031185958105934;	0.030607158268757;
0.019509167766192;	0.026760174383706;	0.030201578539991;	0.030568087331820;
0.019228349220970;	0.026075624511963;	0.029544261225912;	0.029862716402349;
0.019774470540582;	0.025077269435003;	0.029766891942738;	0.029117735259998;
0.018748677066904;	0.023890909932904;	0.030090482963381;	0.028770985346133;
0.017146273113733;	0.023132768349134;	0.029963927442947;	0.028227275920508;
0.016480119686055;	0.022783644366648;	0.029902441077969;	0.027536446147455;
0.016817637483756;	0.022170865876226;	0.029221559853012;	0.026859127255110;
