0.002647140910428;	0.002894405601071;	0.003194760671109;	0.003158755829581;
0.002566365248610;	0.002818411634250;	0.003090541120917;	0.003132839802378;
0.002378334823043;	0.002632727628152;	0.002906030662440;	0.002612725952722;
0.002306529097336;	0.002554977046177;	0.002823167244598;	0.002833765935364;
0.002209820137785;	0.002448952334579;	0.002712161155091;	0.002856256770728;
0.002038157765500;	0.002267666409836;	0.002522894219694;	0.002433205756548;
0.001908763744806;	0.002121982473221;	0.002364298439868;	0.002262578437287;
0.001779396574318;	0.001978802963374;	0.002201127807528;	0.002035776523751;
0.001678978170983;	0.001861384599416;	0.002058379990654;	0.002004693811144;
0.001572966406885;	0.001745110993848;	0.001931717556299;	0.001851712553919;
0.001471273352392;	0.001630743110475;	0.001804908555442;	0.001720347688870;
0.001387759855301;	0.001533224312299;	0.001690569556831;	0.001598198535187;
0.001308549210739;	0.001445801711225;	0.001588315611506;	0.001516814256721;
0.001246612485286;	0.001375729748012;	0.001505601567729;	0.001432304603912;
0.001173600658661;	0.001302171321138;	0.001418097231851;	0.001376509322271;
0.001167603911967;	0.001270450476571;	0.001377606481837;	0.001327322543462;
0.001097347064982;	0.001197574260554;	0.001305144849366;	0.001244920925842;
0.001021131282033;	0.001118877143959;	0.001221867220901;	0.001172807482526;
0.000946198366346;	0.001037300308542;	0.001133836616915;	0.001075370605682;
0.000864168268262;	0.000947987364367;	0.001037064301095;	0.000994189162512;
0.000795962360993;	0.000872919016611;	0.000954360423886;	0.000909147437950;
0.000729238066273;	0.000798376443892;	0.000871371935594;	0.000830511929379;
0.000668690099691;	0.000730572921383;	0.000792851402035;	0.000759133433612;
0.000613395682120;	0.000671102790525;	0.000728847324201;	0.000698769269535;
0.000561869129964;	0.000614751328178;	0.000667607005808;	0.000639052698532;
0.000515104569061;	0.000560868505419;	0.000606455584585;	0.000582042284099;
0.000474116322618;	0.000517481964439;	0.000560469913153;	0.000538369459487;
0.000434568926034;	0.000473206296733;	0.000514975814085;	0.000492675667521;
0.000394548758188;	0.000426634227702;	0.000463482334642;	0.000449979428592;
0.000384100299949;	0.000423417321342;	0.000454691365406;	0.000432814897378;
0.000344485896076;	0.000381008108651;	0.000415592556934;	0.000390755791590;
0.000301510403281;	0.000332440301296;	0.000361597024235;	0.000342656653655;
0.000272234033206;	0.000301688371567;	0.000328087471179;	0.000308784791680;
0.000237621041196;	0.000264755994057;	0.000289183381747;	0.000270619847072;
0.000204659306790;	0.000227712032531;	0.000248277458331;	0.000232464064123;
0.000177011868686;	0.000196977294813;	0.000214719187960;	0.000201583996053;
0.000150870465347;	0.000168421962397;	0.000184257239655;	0.000172235046113;
0.000123403683381;	0.000137928359349;	0.000150933032794;	0.000141560476503;
0.000097726220911;	0.000108879807183;	0.000118658340311;	0.000112190853724;
0.000074387084168;	0.000082765366722;	0.000089982910414;	0.000085711021046;
0.000054328400363;	0.000060169937339;	0.000065207581537;	0.000062350850241;
0.000037881013677;	0.000041818309929;	0.000045360828722;	0.000043273414653;
0.000023890315241;	0.000026088687532;	0.000028048092238;	0.000027029726777;
0.000014059042936;	0.000015158483160;	0.000016164827873;	0.000015685172464;
0.000007328723421;	0.000007754428258;	0.000008154528100;	0.000008006406437;
0.000003037719606;	0.000003108259580;	0.000003188258083;	0.000003205320829;
0.000001978099981;	0.000002008972880;	0.000002042225788;	0.000002065163186;
0.000001289606422;	0.000001302077742;	0.000001316589723;	0.000001329423204;
0.000000775693195;	0.000000780904233;	0.000000786943963;	0.000000793515339;
0.000000448857137;	0.000000450909983;	0.000000453305489;	0.000000456320803;
0.000000247200213;	0.000000247984059;	0.000000248902917;	0.000000250173288;
0.000000124131292;	0.000000124409867;	0.000000124739919;	0.000000125220219;
0.000000054873270;	0.000000054974250;	0.000000055093124;	0.000000055243143;
0.000000019445567;	0.000000019477956;	0.000000019517254;	0.000000019559751;
0.000000005383118;	0.000000005393218;	0.000000005405861;	0.000000005414921;
0.000000001125572;	0.000000001128478;	0.000000001132150;	0.000000001133478;
0.000000000160225;	0.000000000160823;	0.000000000161537;	0.000000000161567;
0.000000000015105;	0.000000000015182;	0.000000000015290;	0.000000000015284;
0.000000000001145;	0.000000000001154;	0.000000000001166;	0.000000000001164;
0.000000000000063;	0.000000000000064;	0.000000000000065;	0.000000000000065;
0.000000000000005;	0.000000000000005;	0.000000000000005;	0.000000000000005;
0.000000000000001;	0.000000000000001;	0.000000000000001;	0.000000000000001;
0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;
0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;
0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;
0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;
0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;
0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;
