0.004094497265612;	0.015763624702204;	0.012396799395604;	0.014037563129154;
0.003992126807729;	0.015694831615311;	0.012432487541485;	0.014097881763323;
0.004256040067916;	0.015552914924477;	0.012474992487611;	0.014263470493930;
0.004462494773873;	0.015867550941563;	0.012791225919263;	0.014525411388279;
0.004454458895502;	0.016098923123542;	0.013116461230980;	0.014748468010401;
0.004837359567414;	0.016222600943989;	0.013307008653613;	0.015022265697684;
0.004791116317270;	0.016138772315908;	0.013411431698497;	0.015262313220984;
0.004899413219215;	0.016055769459106;	0.013580578772327;	0.015313577873426;
0.005315388299997;	0.016492747180242;	0.013951265270347;	0.015684515776468;
0.005507664755032;	0.016783052235551;	0.014236602298661;	0.016057488142659;
0.005285853383007;	0.016390028816368;	0.014127260665723;	0.015975244080466;
0.005942676985502;	0.016591098819989;	0.014475939698324;	0.016329876314380;
0.005885867474575;	0.016964057656349;	0.014871345351368;	0.016653711106261;
0.005804637995281;	0.016562562526550;	0.014761098886149;	0.016495354736948;
0.006423998519084;	0.016686088572174;	0.015054351269743;	0.016820830401769;
0.006601155523559;	0.017109636707147;	0.015506922516777;	0.017077007778812;
0.006281283915833;	0.016930197096403;	0.015577640338854;	0.016899985308961;
0.006966619685747;	0.016943635697807;	0.015697168695331;	0.017171386238423;
0.007239324103120;	0.017261460271519;	0.016063076202314;	0.017483756153281;
0.007278406730366;	0.017036119500582;	0.016097175711043;	0.017290498819299;
0.007156019838798;	0.016755066690941;	0.016045602200660;	0.017127084679416;
0.007837251814850;	0.016968910682701;	0.016341643703723;	0.017243748190278;
0.007917501314525;	0.017181919299338;	0.016657456765177;	0.017360153470765;
0.007596218951371;	0.016744236787665;	0.016492967313437;	0.017170775138093;
0.008246471844981;	0.016535905343494;	0.016500610614180;	0.017038317995277;
0.008740299655430;	0.016955932749326;	0.017162844724371;	0.017249287980283;
0.008860554020598;	0.017117609710549;	0.017484420353578;	0.017375628385301;
0.008469088499110;	0.016597245243798;	0.016986963593934;	0.017109908353732;
0.009363837268417;	0.016414934678424;	0.016742312786597;	0.016883068702569;
0.009344911880100;	0.016446599928659;	0.016818846350138;	0.016799582776409;
0.009506938703943;	0.016137565785329;	0.016732358495289;	0.016645966541889;
0.009272933758442;	0.015783253361446;	0.016530466027136;	0.016391420099043;
0.010022379029564;	0.015755751461778;	0.016544539281972;	0.016281456474152;
0.010207776232301;	0.015785688500286;	0.016458430039047;	0.016235571377754;
0.010322661817655;	0.015533626971459;	0.016263346032990;	0.015944311324757;
0.009970486112146;	0.015083358622422;	0.015985870814277;	0.015524117643773;
0.010415541259530;	0.014723237550613;	0.015681034188495;	0.015278880731045;
0.010828531653333;	0.014641193030109;	0.015561167597375;	0.015195733679877;
0.011008358841330;	0.014464398670338;	0.015321391826090;	0.015038327931609;
0.011028996627677;	0.014222340218534;	0.015072403123570;	0.014821873123920;
0.010393273213719;	0.013685358241882;	0.014657502295939;	0.014411488193479;
0.011269407335797;	0.013376201817457;	0.014361430603884;	0.014122864860844;
0.011269199410595;	0.013284581082628;	0.014243374824501;	0.013957929946680;
0.011147480959233;	0.012894068018177;	0.013970673684895;	0.013547294707107;
0.011026623364537;	0.012436364188208;	0.013532886878163;	0.013143178779096;
0.010352875184766;	0.011874143778401;	0.012995444600640;	0.012770222023242;
0.011166825117066;	0.011560545793114;	0.012669272883369;	0.012487707868827;
0.010290177012320;	0.011148241717241;	0.012290964415986;	0.012110167129687;
0.010423094485520;	0.010605744549142;	0.011837860557649;	0.011639677296358;
0.010128410271174;	0.010111211696399;	0.011403027203355;	0.011199852244820;
0.009972718307192;	0.009577601320808;	0.010894148627761;	0.010696942423912;
0.009908366616056;	0.009175018054974;	0.010445085989905;	0.010226997302740;
0.009949377519125;	0.008830593860978;	0.010051964285917;	0.009727371630965;
0.009817417642060;	0.008497621753001;	0.009695968685975;	0.009248856660904;
