0.003045775113796;	0.002632792503622;	0.001742855207556;	0.002993923945399;
0.003133015731167;	0.002847491750045;	0.001938710011831;	0.002848272554858;
0.003372536882411;	0.002954790231194;	0.002094934649838;	0.003237212300277;
0.003344143460564;	0.003088593974962;	0.002249851129705;	0.003070568046576;
0.003186550304788;	0.002899337941189;	0.002066824352668;	0.003112135258916;
0.003670121858461;	0.003373182686232;	0.002445153468760;	0.003427166576355;
0.003303191353841;	0.003118047712443;	0.002307430769688;	0.003045182033939;
0.003721876350469;	0.003536328622645;	0.002833264783902;	0.003971368083662;
0.003579418198434;	0.003345277521421;	0.002575732746944;	0.003040218711864;
0.003664199095776;	0.003599804552850;	0.002945746901855;	0.004172849847701;
0.003920037688745;	0.003758563115617;	0.003031703767539;	0.003363494661043;
0.003892406554785;	0.003787855228718;	0.003271206912822;	0.003993011669117;
0.003783598661116;	0.003826138397355;	0.003269403370302;	0.003690771956507;
0.004196094388032;	0.004117790350574;	0.003666516902381;	0.004010213709926;
0.004137056329286;	0.004126061683348;	0.003689218722444;	0.004033016340311;
0.004082368458870;	0.004244360728757;	0.003834093440154;	0.004372377894794;
0.004338250517010;	0.004320487197416;	0.003999794078090;	0.004077700848996;
0.004470046201348;	0.004498489955866;	0.004244156988868;	0.004562025575280;
0.004171260876697;	0.004491847384825;	0.004330897348698;	0.004430321436121;
0.004697642598237;	0.004865282125799;	0.004909730623446;	0.004715562427307;
0.004773560302859;	0.004935957650700;	0.004744633573678;	0.004929190566030;
0.004562287000971;	0.005014219799568;	0.005198819975679;	0.004786938677543;
0.004818627925880;	0.004987092040080;	0.005058120360710;	0.005106216922278;
0.004970091310649;	0.005266925966145;	0.005347333165549;	0.005080361867549;
0.004733174008902;	0.005160293315291;	0.005357913313343;	0.005250761487704;
0.005197670448008;	0.005560170351193;	0.005885800987689;	0.006010119539502;
0.005207194671571;	0.005561914036657;	0.005828630021078;	0.005528052988767;
0.005093052132967;	0.005596427269078;	0.005967297684401;	0.006046408877829;
0.005259182598227;	0.005625715929756;	0.006057619974685;	0.005953835199473;
0.005388863429328;	0.005827252871803;	0.006220220310378;	0.005887032446678;
0.005438113521072;	0.006120036478530;	0.006783311344790;	0.006205921335001;
0.005567093895623;	0.005934983749071;	0.006320471830752;	0.006047618469141;
0.005564961763891;	0.006098378027004;	0.006952555779118;	0.006388946000911;
0.005574015849413;	0.006203085288763;	0.006900917976420;	0.006284376622238;
0.005903059292285;	0.006421501287908;	0.007014446123505;	0.006613427691479;
0.005947278130278;	0.006377919578133;	0.006916681922907;	0.006510269448202;
0.005653479226362;	0.006219243228044;	0.006845388652817;	0.006583199174590;
0.006262147941801;	0.006767416137601;	0.007491521939404;	0.007018208494341;
0.005971404223117;	0.006425100882594;	0.007008895308974;	0.006736344033217;
0.005898401966802;	0.006537315288487;	0.007312606323077;	0.006881677228164;
0.006391126769804;	0.006808513061762;	0.007504312430467;	0.007257106466389;
0.006444270867306;	0.006951944132319;	0.007658264545692;	0.006958248309261;
0.006058392199929;	0.006775159750283;	0.007487342850229;	0.007088382727449;
0.006572061130033;	0.007033310912029;	0.007605056245145;	0.007425662857391;
0.006737883194991;	0.007146883371476;	0.007820854371248;	0.007413081163538;
0.006630610303182;	0.006979689413570;	0.007632449801381;	0.007213769236711;
0.006476585272275;	0.007056781013495;	0.007714805900739;	0.007338824111795;
