0.006730402834012;	0.008333665657210;	0.030379781305095;	0.026296904120847;
0.006624335871873;	0.007934734364941;	0.029457840304897;	0.024474884012350;
0.005918154633306;	0.008397931340629;	0.027951401282172;	0.023452005560783;
0.006758844398663;	0.008437160663772;	0.027057692056489;	0.022618266855929;
0.006571187462427;	0.008394015454684;	0.026348514735363;	0.021591771841711;
0.005810147398406;	0.008269900477908;	0.024948198148559;	0.020949401413268;
0.006697806243654;	0.007937584018455;	0.024207341789151;	0.019995006859209;
0.006959758714044;	0.008167012325719;	0.025332981564530;	0.019074796282175;
0.006890490607498;	0.008227284155243;	0.024876699232508;	0.018624757157793;
0.006064022471858;	0.008254676740206;	0.022104400665595;	0.018279422731867;
0.007290117792104;	0.008207242580733;	0.020188543910106;	0.017319805472537;
0.007021506645836;	0.008090627654840;	0.019421645208465;	0.016392636573128;
0.007097170601695;	0.007951450326558;	0.018865883863115;	0.015924582507956;
0.006436019788824;	0.008098744610007;	0.018048571799252;	0.015388404115559;
0.007236815334476;	0.008291824247589;	0.017392661478457;	0.014785103665359;
0.007375295885977;	0.008323933079391;	0.016322199852306;	0.014250810206603;
0.007295695081906;	0.008331147842188;	0.015603564823011;	0.013579229231867;
0.006663303578832;	0.008269134427044;	0.015099231679426;	0.012970707427995;
0.007102012854430;	0.008249343640275;	0.014406273999363;	0.012636589693545;
0.007570319782262;	0.008279395456338;	0.013848966462440;	0.012295049732843;
0.007607003680068;	0.008408698325534;	0.013167956136119;	0.011983689137766;
0.007374979723203;	0.008632723754052;	0.012616995494979;	0.011698793825805;
0.006340392480815;	0.008496637330368;	0.012135387511341;	0.011398447304515;
0.007446346848828;	0.008598317540081;	0.011707172037807;	0.011058361158830;
0.007260931028732;	0.008538814402774;	0.011436861079437;	0.010730852324159;
0.006993970966373;	0.008501186640510;	0.011242643382197;	0.010340282858211;
0.006733674789664;	0.008508021739413;	0.010804967272675;	0.010041039451975;
0.005586200022347;	0.008605447058837;	0.010293119622428;	0.009917070053081;
0.006700299383309;	0.008485696553565;	0.009978272135017;	0.009693202553033;
0.005423139404109;	0.008298802764893;	0.009716245437408;	0.009417445017411;
0.005564192666955;	0.008094703693557;	0.009468322903429;	0.009132269543771;
0.005400920257982;	0.007436462851618;	0.009227247222574;	0.008796078355880;
0.005183018999620;	0.007368181933460;	0.008903607373577;	0.008428612897872;
0.005145051497441;	0.007219682518074;	0.008548209945960;	0.008023574514987;
0.005199847311688;	0.007140771774592;	0.008235275942731;	0.007519253282026;
0.005046507393508;	0.006988216498944;	0.007949109952165;	0.007014154158231;
0.004902354101970;	0.006809590096188;	0.007475610361846;	0.006577186421537;
0.004736962334695;	0.006614323776538;	0.006944733054319;	0.006176655586539;
0.004573011136480;	0.006421784265430;	0.006547898627393;	0.005766814442747;
0.004367882123240;	0.006264571786383;	0.006154262746590;	0.005387792324598;
0.004566916892216;	0.006110609938688;	0.005769812629745;	0.005056094436204;
0.004421516525025;	0.005924423128603;	0.005398323637324;	0.004741595128183;
0.004365190103831;	0.005731994748506;	0.005049826822811;	0.004455929878748;
0.004205360394575;	0.005570657329400;	0.004746095908508;	0.004167171018733;
0.004081136443360;	0.005533656413269;	0.004430780191737;	0.003899042010512;
0.003995490127014;	0.005388369732202;	0.004127653316279;	0.003654844888930;
0.003852131423814;	0.005284179063292;	0.003876563119620;	0.003435953434921;
0.003655286707910;	0.005136062797602;	0.003649814254032;	0.003228926121919;
0.003814264831626;	0.005041212701017;	0.003399667912543;	0.003016462888551;
0.003658327826686;	0.004869389602489;	0.003172889943132;	0.002830827378723;
0.003510712491864;	0.004700934090606;	0.002990597410871;	0.002672243782636;
0.003369441336730;	0.004513768366728;	0.002810838385809;	0.002484846180312;
