0.023577464682225;	0.024266307341725;	0.023831529193921;	0.025643794006602;
0.022481057994234;	0.023778274043791;	0.023697647032275;	0.025305540998966;
0.022335124197824;	0.023898938582536;	0.023978173683362;	0.025275631283081;
0.022448936402664;	0.023894225803929;	0.024231192093081;	0.025168531708677;
0.021205154298493;	0.023188958116984;	0.023922168944345;	0.024794364898908;
0.020810447789476;	0.022733105260922;	0.023849809517720;	0.024441921310232;
0.021397889455871;	0.023023107502140;	0.024667149368462;	0.024461081718511;
0.021202299261150;	0.023000078098348;	0.024930422898700;	0.024387969473717;
0.019939657177571;	0.022132050730418;	0.023999714158997;	0.023839717242167;
0.019603723733958;	0.021638105711456;	0.023392006184481;	0.023247814482440;
0.019666507375919;	0.021362221501668;	0.023245744514276;	0.022808510015937;
0.019008052418554;	0.020763737580994;	0.022973792139208;	0.022385901981983;
0.018129047892552;	0.020131607363636;	0.022513235864353;	0.021822964170495;
0.017751567500855;	0.019842835091256;	0.022264692843545;	0.021371059434766;
0.017771150018379;	0.019562597105556;	0.021806920782054;	0.020969448952260;
0.017232226802741;	0.019019612074966;	0.021303692509502;	0.020307982687224;
0.016250469073224;	0.018270863565371;	0.020729564597027;	0.019516893490888;
0.015566729415241;	0.017584540419942;	0.020065279462836;	0.018935533562022;
0.015544548306839;	0.017228923582320;	0.019623615981788;	0.018540896090451;
0.015250539161107;	0.016763524829396;	0.019012715927016;	0.018056934739207;
0.014633181973746;	0.016237899505763;	0.018401392608158;	0.017515937870725;
0.013534462388618;	0.015447520031857;	0.017653527904645;	0.016798577457745;
0.013062575533507;	0.014875937665399;	0.017029286643242;	0.016207509569433;
0.012984545149660;	0.014515879073703;	0.016603756504169;	0.015745936014531;
0.012294990291777;	0.013883521153444;	0.016046736693297;	0.015046565948600;
0.011571187486859;	0.013188416814143;	0.015283405983292;	0.014387049913961;
0.010551362341574;	0.012402555262257;	0.014417609324336;	0.013782296348782;
0.010120049838354;	0.011882528882729;	0.013820248973918;	0.013275228116293;
0.009571950842813;	0.011258475139148;	0.013184864603202;	0.012679944848027;
0.008762170544689;	0.010521520594786;	0.012491650633639;	0.012000030184040;
0.008238471873743;	0.009813663583862;	0.011824816900198;	0.011349932266814;
0.007635883756342;	0.009100491438772;	0.011094154513867;	0.010647973388606;
0.007160935122723;	0.008548393442761;	0.010438003803186;	0.009991006270605;
0.006785297690962;	0.008061910200753;	0.009854788720772;	0.009303103459920;
0.006397023223017;	0.007593535310340;	0.009315235659607;	0.008637361932221;
0.005929061302108;	0.007034057458097;	0.008600292341283;	0.007980531394884;
0.005464324546961;	0.006465065528000;	0.007845363265329;	0.007346464742751;
0.005042966115348;	0.005966567816132;	0.007235043661942;	0.006758785900634;
0.004643936911939;	0.005504611614684;	0.006661108006467;	0.006219914823833;
0.004361175131081;	0.005121877956111;	0.006155205429362;	0.005764749503186;
0.004097045956058;	0.004757209185909;	0.005674635785412;	0.005334542290019;
0.003797945636924;	0.004391338812728;	0.005219337774051;	0.004927633859772;
0.003522538262440;	0.004061981459347;	0.004823120379206;	0.004551169907380;
0.003261949076290;	0.003764530753436;	0.004439819633709;	0.004200031597763;
0.003029463842708;	0.003492362756043;	0.004082979730739;	0.003880615942748;
0.002811932906974;	0.003241037177855;	0.003778762692845;	0.003599994779433;
0.002594210873318;	0.003002256174639;	0.003502502050527;	0.003343173227723;
0.002434050165865;	0.002792561459129;	0.003230911258936;	0.003095562780738;
0.002287211533036;	0.002597387824199;	0.002981960813737;	0.002866749847875;
0.002112334558235;	0.002401661431377;	0.002762195483780;	0.002666470003885;
0.001944208007159;	0.002211725936254;	0.002548319984628;	0.002439664030230;
0.001788699623180;	0.002032189770309;	0.002339652979989;	0.002235042167597;
0.001658724939551;	0.001877098192244;	0.002153060055014;	0.002073974727092;
0.001538400537351;	0.001735514390134;	0.001976374398601;	0.001915176859216;
0.001424667709727;	0.001605949195269;	0.001818127647013;	0.001791238594994;
0.001331506412291;	0.001496894821697;	0.001690660295385;	0.001725658538166;
0.001234355180109;	0.001392030855404;	0.001569910267278;	0.001638023879292;
0.001165694058994;	0.001300386356351;	0.001458434832900;	0.001517476704627;
0.001118982271004;	0.001230869766340;	0.001367223932693;	0.001425804554401;
0.001021976028694;	0.001132518255972;	0.001252174401698;	0.001117406344673;
0.000944312529105;	0.001053556717372;	0.001163020546184;	0.001041229431460;
0.000910000377989;	0.001015427670722;	0.001123649984471;	0.001262123302933;
0.000835700053282;	0.000934281075734;	0.001043976719817;	0.001131062645181;
0.000751357769999;	0.000839760402278;	0.000942957339378;	0.000918391565693;
0.000687932118240;	0.000767610115866;	0.000857146668144;	0.000797910645369;
0.000640196045639;	0.000713400130355;	0.000789407654757;	0.000765409358806;
0.000598030149083;	0.000665793699126;	0.000735640291389;	0.000751340855462;
0.000552030522390;	0.000614437633062;	0.000681033690544;	0.000673642671844;
0.000513822215555;	0.000570349527919;	0.000630280660048;	0.000611936920047;
0.000482672289742;	0.000535369636912;	0.000588305235305;	0.000574122738904;
0.000456658594795;	0.000506789138301;	0.000554825222956;	0.000547337162067;
0.000431518171407;	0.000481561657849;	0.000524891395621;	0.000526569914411;
0.000419041011027;	0.000463364556923;	0.000502405468218;	0.000506282907221;
0.000407219441996;	0.000444176961132;	0.000481505827305;	0.000473838610730;
0.000384274075351;	0.000420760484258;	0.000457553253730;	0.000455240976306;
0.000360596509918;	0.000396266123695;	0.000431543671378;	0.000429089493858;
0.000335543680329;	0.000369078169491;	0.000402799458500;	0.000400796348533;
0.000312275264220;	0.000343854557418;	0.000375781873082;	0.000376522738346;
0.000291525537488;	0.000321281582537;	0.000351941389699;	0.000348143959451;
0.000271821976302;	0.000299110652562;	0.000326044080065;	0.000324386606202;
0.000253699928269;	0.000279645086477;	0.000304214127084;	0.000303871447571;
0.000237358283718;	0.000263012959427;	0.000289048152530;	0.000285421993772;
0.000220881406916;	0.000243640894160;	0.000266332943897;	0.000264954682800;
0.000206277249900;	0.000226976806152;	0.000246488445282;	0.000248018154444;
0.000194548059347;	0.000215315934228;	0.000237836131262;	0.000234494673377;
0.000181039643506;	0.000198160895224;	0.000218826853412;	0.000219085621279;
0.000172744381309;	0.000189782779104;	0.000204963715739;	0.000208883834725;
0.000167643902249;	0.000188415799701;	0.000207251280606;	0.000202730539191;
0.000153366889012;	0.000171173118068;	0.000188417225511;	0.000186546272647;
0.000141970180243;	0.000157751076671;	0.000170766730788;	0.000172897387030;
0.000134760729179;	0.000151953889555;	0.000167142568289;	0.000165090845208;
0.000124936599733;	0.000142021170702;	0.000157714019919;	0.000154088734428;
0.000115260478965;	0.000131664414904;	0.000146296713030;	0.000143245030967;
0.000106743342838;	0.000124152098334;	0.000141877486548;	0.000133304001734;
0.000093738399652;	0.000110270329703;	0.000129124536254;	0.000117038183440;
0.000078049986596;	0.000090586795381;	0.000103907863007;	0.000097851777888;
0.000064861307267;	0.000074096735970;	0.000082118696669;	0.000082043870527;
