0.009371084659885;	0.016515743082049;	0.016845325464241;	0.017003565334898;
0.009334879586533;	0.016513354162489;	0.016929409788986;	0.016902896870042;
0.009496855056902;	0.016185549410976;	0.016865687456771;	0.016754699044934;
0.009227059219693;	0.015835627990342;	0.016677094247690;	0.016505585625778;
0.009995672526018;	0.015811045952261;	0.016694267974577;	0.016387150970191;
0.010182880429718;	0.015828736580017;	0.016594014224481;	0.016329950866176;
0.010285851003424;	0.015570244646592;	0.016402949978731;	0.016030642639092;
0.009905611226714;	0.015120760299560;	0.016140433807772;	0.015608504881234;
0.010360827366033;	0.014753703468524;	0.015836412299098;	0.015366082064642;
0.010787621439897;	0.014649507800907;	0.015710236037377;	0.015274593505950;
0.010960603569073;	0.014464436327335;	0.015459112421475;	0.015112755150439;
0.010961193882661;	0.014229728428355;	0.015203196060416;	0.014895278726242;
0.010279093036035;	0.013705803344572;	0.014792822018773;	0.014491670709610;
0.011194655630884;	0.013387245184977;	0.014493394624448;	0.014198628766447;
0.011181031119710;	0.013274796115065;	0.014370433934362;	0.014020994116701;
0.011044760263407;	0.012876924717455;	0.014106068835378;	0.013603789792195;
0.010910421324824;	0.012419793353736;	0.013663924309953;	0.013199977062734;
0.010180441133135;	0.011874561097312;	0.013119129079928;	0.012839934170885;
0.011042126086659;	0.011555278070415;	0.012787219249798;	0.012555867153585;
0.010111339689657;	0.011131907693517;	0.012408666789104;	0.012175914019687;
0.010250276567973;	0.010587510010753;	0.011959901207168;	0.011707349222467;
0.009961758165302;	0.010068704910147;	0.011528741173832;	0.011264152092581;
0.009797659875493;	0.009523295473234;	0.011019452053986;	0.010758765994501;
0.009736338465088;	0.009120958747484;	0.010563107252207;	0.010282098477021;
0.009782498275187;	0.008774283379740;	0.010164282174686;	0.009769132299902;
0.009646797656584;	0.008439530091191;	0.009805149916405;	0.009277934925256;
0.009399294744191;	0.007999685311540;	0.009265414466857;	0.008786678327293;
0.009172201936393;	0.007531681845130;	0.008663045941372;	0.008298461060782;
0.008949429317886;	0.007117390054590;	0.008187925720616;	0.007830231450325;
0.008689215197973;	0.006724393443943;	0.007732352609577;	0.007387147640130;
0.008793391004697;	0.006403701733389;	0.007328869869459;	0.007015598976404;
0.008550000526482;	0.006083464797442;	0.006930015035653;	0.006648792081320;
0.008412528832337;	0.005740588856012;	0.006535316623160;	0.006287236994403;
0.008171096027925;	0.005422532381915;	0.006187161207873;	0.005937158059857;
0.007992483948380;	0.005127092086567;	0.005829146000417;	0.005593406112655;
0.007805651147451;	0.004847796917377;	0.005478817131626;	0.005270517493914;
0.007619674638702;	0.004581663412526;	0.005176010331316;	0.004983161346731;
0.007354934335862;	0.004322048521087;	0.004894755412369;	0.004713934695033;
0.007393660909654;	0.004087746718558;	0.004599307420782;	0.004438966040347;
0.007162000599479;	0.003862227397742;	0.004318561253397;	0.004176472989708;
0.006956766190976;	0.003627704960491;	0.004068198515448;	0.003944847477595;
0.006698243450524;	0.003394461736029;	0.003815396254157;	0.003664316109851;
0.006492082006477;	0.003168404125053;	0.003559476791200;	0.003407406280307;
0.006354358375056;	0.002973808038347;	0.003329489161632;	0.003212047424367;
0.006161321485413;	0.002794836765222;	0.003108517715669;	0.003014750254344;
0.005998700768289;	0.002626547356003;	0.002907166758636;	0.002864829816358;
0.005922101005761;	0.002484951387786;	0.002747156927523;	0.002804162471367;
0.005697700781958;	0.002348906464063;	0.002595000133092;	0.002707746390010;
0.005808598813057;	0.002226626021070;	0.002448507108988;	0.002547742965946;
0.005749553017321;	0.002132367064177;	0.002324894365514;	0.002423548136389;
0.005347699263450;	0.001989915297235;	0.002159256117050;	0.001926846353602;
0.005404158101937;	0.001876830740942;	0.002030796889066;	0.001813311418420;
0.005479413855468;	0.001834213589134;	0.001984783854017;	0.002221346182274;
0.005121688789355;	0.001726276940996;	0.001879523787412;	0.002043530357976;
0.004979811099689;	0.001591958149874;	0.001739692901002;	0.001706959460265;
0.004811651127461;	0.001490773604833;	0.001622058225179;	0.001521316790166;
0.004809793330218;	0.001416649016092;	0.001529564621886;	0.001489004804510;
0.004680818908925;	0.001350600063181;	0.001457324260243;	0.001494708714496;
0.004558120237246;	0.001272606982841;	0.001378904238540;	0.001368827236930;
0.004489510132714;	0.001203828684335;	0.001302768974195;	0.001267647210991;
