0.027105647739091;	0.020675456032293;	0.013423763071025;	0.014634080104832;
0.026161368681706;	0.020364268086137;	0.013228585815929;	0.014545345688343;
0.026683181192595;	0.020713757823357;	0.013248451830448;	0.014937183958649;
0.026336882697692;	0.020866648551367;	0.013625321659333;	0.015065754938076;
0.025770945891780;	0.020561315666397;	0.013860057884957;	0.015279835906901;
0.026424083680255;	0.020970407715854;	0.014196142232155;	0.015633604309816;
0.025696205203227;	0.020779908254947;	0.014229773950708;	0.015815146344626;
0.026165884786054;	0.021347394848458;	0.014755631674203;	0.016264223103774;
0.026316323119220;	0.021317876907121;	0.014826134531906;	0.016385476062925;
0.025202637990395;	0.020851482992132;	0.014656295365144;	0.016497826445311;
0.025689558840462;	0.021283413976005;	0.015041427399294;	0.016772046060781;
0.026112143211426;	0.021478194897597;	0.015320250133517;	0.017170037374264;
0.025195895357615;	0.021458381956609;	0.015391864434187;	0.017478270372373;
0.025274813553544;	0.021484396164183;	0.015521556903961;	0.017634258840450;
0.026021143182134;	0.021727146952782;	0.015810866233279;	0.017984087856166;
0.024754144500126;	0.021619360735230;	0.015908024247160;	0.018234630690752;
0.024486162011192;	0.021493266665026;	0.016058543989736;	0.018375313254131;
0.025647991759163;	0.022052974765626;	0.016438678270319;	0.019004004170110;
0.024717194433934;	0.022041666452177;	0.016613011874777;	0.019148573581035;
0.024456417957439;	0.021786505421356;	0.016692502141444;	0.019312361247403;
0.025167970295217;	0.022155426251043;	0.016983074347219;	0.019807956424143;
0.024346315306181;	0.022141337495518;	0.017149078998306;	0.019955139188771;
0.024063169400733;	0.022003489128932;	0.017325097780950;	0.020504607994128;
0.024667980614325;	0.022386984624982;	0.017767502107020;	0.021035911641667;
0.024074559704140;	0.022372506095108;	0.017887762559463;	0.021162487856912;
0.023705434377322;	0.022117612779457;	0.017974938373718;	0.021387214186377;
0.024001740669817;	0.022328283795183;	0.018281426300776;	0.021531495208516;
0.023655528985308;	0.022692982198796;	0.018784688280768;	0.021821122577242;
0.023664176141058;	0.022733505071882;	0.018994114926664;	0.022106835952247;
0.023589925574491;	0.022406227438665;	0.019082799831684;	0.022317465243106;
0.022958523962472;	0.022340038329478;	0.019420634652717;	0.022383319642391;
0.023179147595840;	0.022798832486704;	0.019795468829661;	0.022730125859706;
0.023541291860973;	0.022938677597249;	0.020025207572415;	0.023032162726859;
0.022653819102656;	0.022395312813023;	0.019931047102391;	0.022894077806474;
0.022588027903887;	0.022544853610544;	0.020375282904662;	0.023262378683591;
0.022863491933248;	0.022808096132217;	0.020741002897955;	0.023452674906620;
0.021833196544934;	0.022282006579006;	0.020624767790838;	0.023193500411357;
0.021880659537394;	0.022275816634813;	0.020966171097053;	0.023484446891601;
0.022333496863521;	0.022566676915557;	0.021393563540370;	0.023526917997013;
0.021255856459603;	0.022337837758200;	0.021469305684862;	0.023184871277466;
0.020939976235581;	0.022177733760992;	0.021471506700216;	0.023385426951993;
0.021588185335934;	0.022306861183751;	0.021780878099003;	0.023530989022613;
0.021261521962905;	0.021877288303829;	0.021776997722298;	0.023099752765106;
0.020306349860156;	0.021435665478485;	0.021619660540480;	0.022747830437890;
0.020200435636693;	0.021542239121748;	0.021837463319475;	0.022677380871450;
0.020327839173151;	0.021538141398034;	0.022031742626918;	0.022542247988718;
0.019232053863153;	0.020904576624726;	0.021715260806294;	0.022169834663805;
0.018920302176683;	0.020510207373232;	0.021623804425382;	0.021832855689055;
0.019509106679621;	0.020796585959122;	0.022345045002944;	0.021841194337271;
0.019381438603521;	0.020798424954086;	0.022557675338484;	0.021768759791599;
0.018277194281246;	0.020035704827093;	0.021687958043999;	0.021273432955221;
0.018034041508257;	0.019630197228731;	0.021129783693401;	0.020762722719926;
0.018164315060635;	0.019429723042095;	0.020998159940795;	0.020400503337935;
0.017621201407038;	0.018930673372514;	0.020753164464908;	0.020053328189489;
0.016872947350958;	0.018404589001240;	0.020344392172816;	0.019589936397204;
0.016592564835441;	0.018202360478426;	0.020141044495356;	0.019242963362735;
0.016704152160796;	0.018028100376193;	0.019768692795585;	0.018960684416980;
